,word,x,y,z
0,BOOK,131.27395629882812,-43.91349411010742,-81.25678253173828
1,PARVA,-70.62772369384766,23.836509704589844,-36.05725860595703
2,The,81.99434661865234,42.95440673828125,-53.24997329711914
3,object,-67.23645782470703,-107.07527160644531,-6.5923309326171875
4,of,89.8512191772461,9.86636734008789,-15.248251914978027
5,a,-111.81214904785156,-48.18391036987305,7.912847518920898
6,translator,-6.246082305908203,81.77288055419922,21.191564559936523
7,should,51.41438674926758,-87.61734008789062,-30.097196578979492
8,ever,63.3611946105957,19.37537956237793,-34.850311279296875
9,be,91.78734588623047,95.46151733398438,-11.0623779296875
10,to,-0.918657124042511,-104.25577545166016,109.65347290039062
11,hold,98.04414367675781,-6.550546169281006,48.47075271606445
12,the,-38.49016571044922,5.210452556610107,74.68222045898438
13,mirror,61.07435989379883,37.13868713378906,-73.17729187011719
14,his,-32.438514709472656,-64.32151794433594,88.80111694335938
15,author,-3.0509941577911377,44.639556884765625,-119.24097442626953
16,That,9.614664077758789,-110.56214141845703,68.81568908691406
17,being,49.28590393066406,123.33534240722656,-30.368473052978516
18,so,27.761871337890625,86.99092864990234,-98.42918395996094
19,chief,-72.19242858886719,-59.38233184814453,-90.6910400390625
20,duty,61.50666427612305,67.26700592041016,-68.05902099609375
21,is,56.857357025146484,41.522300720214844,51.062095642089844
22,represent,-120.5320053100586,-67.69772338867188,-40.535804748535156
23,far,23.741539001464844,63.99446487426758,57.77933883666992
24,as,49.36270523071289,-15.623749732971191,19.660722732543945
25,manner,-79.20732879638672,32.72380065917969,-32.946624755859375
26,in,14.358287811279297,-87.16405487060547,7.963181495666504
27,which,-45.49634552001953,76.73130798339844,-72.5927505493164
28,s,48.22380828857422,3.716953992843628,89.7624740600586
29,ideas,-41.357913970947266,-17.592182159423828,-116.62190246582031
30,have,42.38700866699219,-93.83092498779297,115.19496154785156
31,been,31.965375900268555,-35.451011657714844,2.421699047088623
32,expressed,23.380924224853516,10.49753475189209,114.0610122680664
33,retaining,18.936946868896484,-8.317599296569824,67.99578094482422
34,if,-110.77067565917969,36.43254470825195,79.28166961669922
35,possible,-21.811771392822266,-32.50375747680664,-15.458319664001465
36,at,-19.467342376708984,165.3017120361328,11.282307624816895
37,sacrifice,5.257017612457275,-2.6294984817504883,-40.044281005859375
38,and,55.676025390625,-93.11327362060547,-51.73752212524414
39,taste,-25.736812591552734,32.31987762451172,-61.92409896850586
40,all,86.99569702148438,140.58026123046875,-39.26348876953125
41,language,24.26494598388672,-35.80481719970703,48.2629508972168
42,well,40.24160385131836,34.46665954589844,-53.59612274169922
